company_a,company_b,correlation
AAPL,SBUX,0.4684302380403355
AMZN,SBUX,0.4306350115150687
CSCO,QCOM,0.44185628909297286
AMD,SBUX,0.29824081367408845
AMD,META,0.3239245219545275
AMD,CSCO,0.33993427888971617
MSFT,QCOM,0.5188124577181276
AAPL,QCOM,0.5265977611203408
AAPL,AMD,0.4035245358249181
AMD,AMZN,0.3794408330429113
CSCO,TSLA,0.2581421765697387
SBUX,TSLA,0.3114723770543374
AMZN,META,0.5555015808772561
CSCO,META,0.3593301935921798
MSFT,NFLX,0.4325145447353838
AMD,NFLX,0.32028584000222293
AMD,MSFT,0.4087348929927374
AMD,QCOM,0.41354067676616196
AMZN,CSCO,0.4007445795099718
AAPL,META,0.49858677404325125
META,SBUX,0.4142360001482512
AMZN,QCOM,0.4052198205682083
NFLX,TSLA,0.35256928711002344
QCOM,SBUX,0.4111467145527136
MSFT,TSLA,0.38530740847773587
AAPL,CSCO,0.5237814494916447
AAPL,AMZN,0.5341663945314566
CSCO,NFLX,0.30636881889548023
CSCO,MSFT,0.5716858540128593
NFLX,SBUX,0.3163386056791203
CSCO,SBUX,0.4815807786957663
META,QCOM,0.37549239448878746
AAPL,TSLA,0.40355552555191265
AMZN,TSLA,0.3860354213922402
AMZN,NFLX,0.5041642143016337
AMD,TSLA,0.3250849413663313
META,NFLX,0.44410428768127325
META,MSFT,0.5248520651328772
NFLX,QCOM,0.33166206763358413
AAPL,MSFT,0.6459326820238573
QCOM,TSLA,0.3291826509479557
AAPL,NFLX,0.3962591725741149
MSFT,SBUX,0.5214003928824098
AMZN,MSFT,0.6097800243371244
META,TSLA,0.3335699908044464
