company,year,month,monthly_pct_change
AAPL,2013,7,NULL
AAPL,2013,8,143.76
AAPL,2013,9,-9.96
AAPL,2013,10,20.88
AAPL,2013,11,-9.63
AAPL,2013,12,12.02
AAPL,2014,1,-3.97
AAPL,2014,2,-11.35
AAPL,2014,3,11.92
AAPL,2014,4,1.48
AAPL,2014,5,11.48
AAPL,2014,6,6.64
AAPL,2014,7,9.03
AAPL,2014,8,-1.74
AAPL,2014,9,2.15
AAPL,2014,10,10.78
AAPL,2014,11,-7.99
AAPL,2014,12,14.89
AAPL,2015,1,-10.52
AAPL,2015,2,7.69
AAPL,2015,3,16.29
AAPL,2015,4,-3.54
AAPL,2015,5,-3.66
AAPL,2015,6,9.18
AAPL,2015,7,-1.93
AAPL,2015,8,-13.64
AAPL,2015,9,-0.52
AAPL,2015,10,5.29
AAPL,2015,11,-5.24
AAPL,2015,12,4.01
AAPL,2016,1,-23.92
AAPL,2016,2,2.39
AAPL,2016,3,19.79
AAPL,2016,4,-2.28
AAPL,2016,5,-11.02
AAPL,2016,6,6.58
AAPL,2016,7,-7.27
AAPL,2016,8,25.62
AAPL,2016,9,-5.99
AAPL,2016,10,4.38
AAPL,2016,11,-4.80
AAPL,2016,12,3.80
AAPL,2017,1,-0.40
AAPL,2017,2,6.24
AAPL,2017,3,27.30
AAPL,2017,4,-16.06
AAPL,2017,5,23.36
AAPL,2017,6,-2.89
AAPL,2017,7,-8.80
AAPL,2017,8,23.31
AAPL,2017,9,-13.82
AAPL,2017,10,10.14
AAPL,2017,11,4.28
AAPL,2017,12,-5.05
AAPL,2018,1,6.29
AAPL,2018,2,-12.83
AAPL,2018,3,15.05
AAPL,2018,4,-2.67
AAPL,2018,5,14.45
AAPL,2018,6,-2.96
AAPL,2018,7,0.89
AAPL,2018,8,22.78
AAPL,2018,9,-14.01
AAPL,2018,10,20.38
AAPL,2018,11,-20.94
AAPL,2018,12,-22.28
AAPL,2019,1,3.73
AAPL,2019,2,0.78
AAPL,2019,3,17.97
AAPL,2019,4,9.40
AAPL,2019,5,-0.07
AAPL,2019,6,-8.28
AAPL,2019,7,16.98
AAPL,2019,8,-0.13
AAPL,2019,9,-3.31
AAPL,2019,10,24.12
AAPL,2019,11,-2.98
AAPL,2019,12,10.60
AAPL,2020,1,12.80
AAPL,2020,2,-9.71
AAPL,2020,3,-2.37
AAPL,2020,4,-0.93
AAPL,2020,5,8.39
