company,year,quarter,quarterly_pct_change
AAPL,2013,3,NULL
AAPL,2013,4,37.36
AAPL,2014,1,-4.04
AAPL,2014,2,15.54
AAPL,2014,3,17.16
AAPL,2014,4,10.86
AAPL,2015,1,5.78
AAPL,2015,2,9.40
AAPL,2015,3,-6.86
AAPL,2015,4,-2.56
AAPL,2016,1,-16.90
AAPL,2016,2,4.65
AAPL,2016,3,6.50
AAPL,2016,4,5.44
AAPL,2017,1,14.30
AAPL,2017,2,14.08
AAPL,2017,3,4.93
AAPL,2017,4,7.72
AAPL,2018,1,-0.25
AAPL,2018,2,10.53
AAPL,2018,3,13.04
AAPL,2018,4,-6.91
AAPL,2019,1,-15.28
AAPL,2019,2,18.64
AAPL,2019,3,9.00
AAPL,2019,4,23.05
AAPL,2020,1,10.74
AAPL,2020,2,7.07
AAPL,2020,3,43.04
AAPL,2020,4,10.23
AAPL,2021,1,1.71
AAPL,2021,2,4.25
AAPL,2021,3,15.43
AAPL,2021,4,7.35
AAPL,2022,1,3.08
AAPL,2022,2,-9.95
AAPL,2022,3,6.98
AAPL,2022,4,-10.37
AAPL,2023,1,1.61
AAPL,2023,2,18.09
AAPL,2023,3,-82.34
AMD,2013,3,NULL
AMD,2013,4,18.58
AMD,2014,1,1.43
AMD,2014,2,9.64
AMD,2014,3,1.49
AMD,2014,4,-32.16
AMD,2015,1,-2.42
AMD,2015,2,-11.08
AMD,2015,3,-21.09
AMD,2015,4,19.06
AMD,2016,1,-3.22
AMD,2016,2,79.32
AMD,2016,3,64.32
AMD,2016,4,29.30
AMD,2017,1,48.97
AMD,2017,2,-2.15
AMD,2017,3,6.74
AMD,2017,4,-10.43
AMD,2018,1,-1.75
AMD,2018,2,12.48
AMD,2018,3,74.74
AMD,2018,4,-4.18
AMD,2019,1,1.66
AMD,2019,2,29.78
AMD,2019,3,11.67
AMD,2019,4,17.39
AMD,2020,1,26.77
AMD,2020,2,11.84
AMD,2020,3,42.27
AMD,2020,4,16.22
AMD,2021,1,-4.90
AMD,2021,2,-3.06
AMD,2021,3,28.49
AMD,2021,4,31.50
AMD,2022,1,-13.97
AMD,2022,2,-21.59
AMD,2022,3,-6.10
AMD,2022,4,-23.69
AMD,2023,1,21.34
AMD,2023,2,27.79
AMD,2023,3,-82.23
AMZN,2013,3,NULL
AMZN,2013,4,48.13
AMZN,2014,1,-1.64
AMZN,2014,2,-11.96
AMZN,2014,3,6.80
AMZN,2014,4,-6.33
AMZN,2015,1,7.57
AMZN,2015,2,22.76
AMZN,2015,3,22.88
AMZN,2015,4,24.68
AMZN,2016,1,-14.18
AMZN,2016,2,25.04
AMZN,2016,3,13.15
AMZN,2016,4,0.79
AMZN,2017,1,4.67
AMZN,2017,2,16.32
AMZN,2017,3,2.96
AMZN,2017,4,12.02
AMZN,2018,1,25.84
AMZN,2018,2,16.45
AMZN,2018,3,16.62
AMZN,2018,4,-11.59
AMZN,2019,1,-3.08
AMZN,2019,2,15.61
AMZN,2019,3,1.13
AMZN,2019,4,-4.55
AMZN,2020,1,5.94
AMZN,2020,2,26.80
AMZN,2020,3,32.60
AMZN,2020,4,1.22
AMZN,2021,1,-5.32
AMZN,2021,2,8.29
AMZN,2021,3,5.44
AMZN,2021,4,-0.78
AMZN,2022,1,-12.54
AMZN,2022,2,-19.02
AMZN,2022,3,4.27
AMZN,2022,4,-23.07
AMZN,2023,1,-3.75
AMZN,2023,2,18.20
AMZN,2023,3,-81.53
CSCO,2013,3,NULL
CSCO,2013,4,10.05
CSCO,2014,1,-4.80
CSCO,2014,2,11.39
CSCO,2014,3,7.21
CSCO,2014,4,2.64
CSCO,2015,1,3.92
CSCO,2015,2,5.22
CSCO,2015,3,-4.35
CSCO,2015,4,2.19
CSCO,2016,1,-11.14
CSCO,2016,2,14.48
CSCO,2016,3,9.57
CSCO,2016,4,-2.44
CSCO,2017,1,4.69
CSCO,2017,2,2.07
CSCO,2017,3,-2.29
CSCO,2017,4,12.22
CSCO,2018,1,14.96
CSCO,2018,2,8.09
CSCO,2018,3,1.33
CSCO,2018,4,1.73
CSCO,2019,1,2.81
CSCO,2019,2,17.39
CSCO,2019,3,-4.40
CSCO,2019,4,-10.57
CSCO,2020,1,-8.56
CSCO,2020,2,1.57
CSCO,2020,3,0.97
CSCO,2020,4,-5.71
CSCO,2021,1,8.87
CSCO,2021,2,15.73
CSCO,2021,3,8.36
CSCO,2021,4,1.82
CSCO,2022,1,-4.06
CSCO,2022,2,-15.40
CSCO,2022,3,-4.33
CSCO,2022,4,0.99
CSCO,2023,1,5.59
CSCO,2023,2,0.72
CSCO,2023,3,-83.20
META,2013,3,NULL
META,2013,4,54.73
META,2014,1,20.30
META,2014,2,0.26
META,2014,3,21.15
META,2014,4,4.21
META,2015,1,-2.32
META,2015,2,7.65
META,2015,3,14.16
META,2015,4,11.95
META,2016,1,-2.10
META,2016,2,14.58
META,2016,3,7.73
META,2016,4,-2.62
META,2017,1,7.09
META,2017,2,13.06
META,2017,3,12.23
META,2017,4,5.91
META,2018,1,-1.64
META,2018,2,5.59
META,2018,3,-1.39
META,2018,4,-19.97
META,2019,1,6.29
META,2019,2,18.66
META,2019,3,5.68
META,2019,4,1.90
META,2020,1,-2.08
META,2020,2,8.36
META,2020,3,25.48
META,2020,4,6.30
META,2021,1,-6.39
META,2021,2,23.05
META,2021,3,14.05
META,2021,4,-7.82
META,2022,1,-27.07
META,2022,2,-22.81
META,2022,3,-13.27
META,2022,4,-28.68
META,2023,1,42.73
META,2023,2,44.89
META,2023,3,-80.41
MSFT,2013,3,NULL
MSFT,2013,4,37.87
MSFT,2014,1,-1.50
MSFT,2014,2,11.36
MSFT,2014,3,11.97
MSFT,2014,4,5.23
MSFT,2015,1,-11.60
MSFT,2015,2,8.24
MSFT,2015,3,-0.03
MSFT,2015,4,17.19
MSFT,2016,1,-5.05
MSFT,2016,2,4.00
MSFT,2016,3,8.63
MSFT,2016,4,4.89
MSFT,2017,1,4.86
MSFT,2017,2,8.85
MSFT,2017,3,6.41
MSFT,2017,4,12.30
MSFT,2018,1,7.94
MSFT,2018,2,11.19
MSFT,2018,3,10.10
MSFT,2018,4,-1.19
MSFT,2019,1,-1.38
MSFT,2019,2,20.18
MSFT,2019,3,10.04
MSFT,2019,4,6.83
MSFT,2020,1,8.44
MSFT,2020,2,12.16
MSFT,2020,3,17.54
MSFT,2020,4,2.38
MSFT,2021,1,2.85
MSFT,2021,2,13.14
MSFT,2021,3,16.28
MSFT,2021,4,11.43
MSFT,2022,1,-10.10
MSFT,2022,2,-9.79
MSFT,2022,3,0.43
MSFT,2022,4,-10.53
MSFT,2023,1,4.60
MSFT,2023,2,22.87
MSFT,2023,3,-82.56
NFLX,2013,3,NULL
NFLX,2013,4,52.73
NFLX,2014,1,11.23
NFLX,2014,2,-2.40
NFLX,2014,3,21.75
NFLX,2014,4,-17.21
NFLX,2015,1,7.68
NFLX,2015,2,42.48
NFLX,2015,3,30.36
NFLX,2015,4,6.40
NFLX,2016,1,-18.12
NFLX,2016,2,2.68
NFLX,2016,3,-0.64
NFLX,2016,4,22.22
NFLX,2017,1,16.51
NFLX,2017,2,11.41
NFLX,2017,3,13.37
NFLX,2017,4,10.41
NFLX,2018,1,36.88
NFLX,2018,2,31.39
NFLX,2018,3,4.81
NFLX,2018,4,-17.55
NFLX,2019,1,12.17
NFLX,2019,2,7.48
NFLX,2019,3,-11.90
NFLX,2019,4,-5.24
NFLX,2020,1,15.60
NFLX,2020,2,22.25
NFLX,2020,3,18.79
NFLX,2020,4,1.86
NFLX,2021,1,-0.28
NFLX,2021,2,-0.47
NFLX,2021,3,9.37
NFLX,2021,4,16.10
NFLX,2022,1,-36.88
NFLX,2022,2,-46.75
NFLX,2022,3,3.42
NFLX,2022,4,24.31
NFLX,2023,1,16.11
NFLX,2023,2,11.30
NFLX,2023,3,-80.59
QCOM,2013,3,NULL
QCOM,2013,4,30.36
QCOM,2014,1,1.77
QCOM,2014,2,9.02
QCOM,2014,3,-2.26
QCOM,2014,4,-4.31
QCOM,2015,1,-8.23
QCOM,2015,2,-0.01
QCOM,2015,3,-11.53
QCOM,2015,4,-10.21
QCOM,2016,1,-12.91
QCOM,2016,2,13.42
QCOM,2016,3,15.41
QCOM,2016,4,8.74
QCOM,2017,1,-15.01
QCOM,2017,2,-2.16
QCOM,2017,3,-5.31
QCOM,2017,4,14.64
QCOM,2018,1,1.74
QCOM,2018,2,-8.09
QCOM,2018,3,16.06
QCOM,2018,4,-7.74
QCOM,2019,1,-13.92
QCOM,2019,2,40.11
QCOM,2019,3,4.40
QCOM,2019,4,11.16
QCOM,2020,1,-5.08
QCOM,2020,2,-0.60
QCOM,2020,3,35.30
QCOM,2020,4,30.40
QCOM,2021,1,-1.29
QCOM,2021,2,-3.22
QCOM,2021,3,6.63
QCOM,2021,4,12.84
QCOM,2022,1,1.49
QCOM,2022,2,-19.04
QCOM,2022,3,4.44
QCOM,2022,4,-16.17
QCOM,2023,1,4.58
QCOM,2023,2,-7.54
QCOM,2023,3,-83.30
SBUX,2013,3,NULL
SBUX,2013,4,33.92
SBUX,2014,1,-10.89
SBUX,2014,2,1.43
SBUX,2014,3,8.17
SBUX,2014,4,0.99
SBUX,2015,1,9.63
SBUX,2015,2,16.63
SBUX,2015,3,12.18
SBUX,2015,4,8.71
SBUX,2016,1,-8.87
SBUX,2016,2,2.45
SBUX,2016,3,-1.65
SBUX,2016,4,-2.49
SBUX,2017,1,0.52
SBUX,2017,2,8.58
SBUX,2017,3,-8.36
SBUX,2017,4,2.13
SBUX,2018,1,-1.10
SBUX,2018,2,3.01
SBUX,2018,3,-8.30
SBUX,2018,4,18.38
SBUX,2019,1,6.32
SBUX,2019,2,17.84
SBUX,2019,3,20.10
SBUX,2019,4,-8.03
SBUX,2020,1,-8.11
SBUX,2020,2,-5.58
SBUX,2020,3,7.82
SBUX,2020,4,19.70
SBUX,2021,1,4.81
SBUX,2021,2,11.20
SBUX,2021,3,5.21
SBUX,2021,4,-3.70
SBUX,2022,1,-18.91
SBUX,2022,2,-18.62
SBUX,2022,3,14.18
SBUX,2022,4,9.35
SBUX,2023,1,8.54
SBUX,2023,2,-0.28
SBUX,2023,3,-84.55
TSLA,2013,3,NULL
TSLA,2013,4,21.81
TSLA,2014,1,25.01
TSLA,2014,2,7.54
TSLA,2014,3,20.20
TSLA,2014,4,-5.31
TSLA,2015,1,-17.66
TSLA,2015,2,20.98
TSLA,2015,3,9.16
TSLA,2015,4,-11.94
TSLA,2016,1,-16.21
TSLA,2016,2,20.85
TSLA,2016,3,-4.71
TSLA,2016,4,-10.40
TSLA,2017,1,26.70
TSLA,2017,2,32.20
TSLA,2017,3,4.81
TSLA,2017,4,-5.73
TSLA,2018,1,-2.08
TSLA,2018,2,-3.06
TSLA,2018,3,0.88
TSLA,2018,4,3.28
TSLA,2019,1,-9.64
TSLA,2019,2,-19.93
TSLA,2019,3,2.19
TSLA,2019,4,38.55
TSLA,2020,1,85.14
TSLA,2020,2,32.60
TSLA,2020,3,121.72
TSLA,2020,4,44.53
TSLA,2021,1,40.22
TSLA,2021,2,-10.70
TSLA,2021,3,10.14
TSLA,2021,4,42.50
TSLA,2022,1,-10.03
TSLA,2022,2,-12.36
TSLA,2022,3,5.61
TSLA,2022,4,-33.26
TSLA,2023,1,-9.33
TSLA,2023,2,14.63
TSLA,2023,3,-77.62
